index,First Name,Last Name,Email Address,Prefix,College Name,Degree,Field of Study,Year of Graduation,Year of Entry,Employer Name,Job Domain,Job Title,Date of birth,Club1 ,CLub2,Club3,Club4,Reason
87,Dwayne,Ford,cruz95@gmail.com,Mr,College of Business Administration,BBA,PRE BUSINESS,2000,1996,,QA Testing,Information Technology,1988-04-22 00:00:00,,,,,Cell(s) contains N/A value
87,Dwayne,Ford,cruz95@gmail.com,Mr,College of Business Administration,BBA,PRE BUSINESS,2000,1996,,QA Testing,Information Technology,1988-04-22 00:00:00,,,,,Name of the Club is not listed in Sports Club sheet
88,Larry,Bolton,cwisoky@hotmail.com,Revd,College of Education,BA,COUNSELING,1994,1990,Jeff Forsythe@Success Real Estate,Real Estate Consultant,Real Estate,1978,Men's Cross Country,,,,Cell(s) contains N/A value
88,Larry,Bolton,cwisoky@hotmail.com,Revd,College of Education,BA,COUNSELING,1994,1990,Jeff Forsythe@Success Real Estate,Real Estate Consultant,Real Estate,1978,Men's Cross Country,,,,Wrong Format of Date of Birth
88,Larry,Bolton,cwisoky@hotmail.com,Revd,College of Education,BA,COUNSELING,1994,1990,Jeff Forsythe@Success Real Estate,Real Estate Consultant,Real Estate,1978,Men's Cross Country,,,,Name of the Club is not listed in Sports Club sheet
89,Cameron,Johns,aritchie@yahoo.com,Captain,College of Business Administration,MA,ECONOMICS,2007,2003,ACE Tool & Mfg.,"President, retired",Manufacturing/ Rubber/Plastics,1992-02-09 00:00:00,,,,,"College Name, Degree & Field of Study together does not match with the Course Structure sheet"
89,Cameron,Johns,aritchie@yahoo.com,Captain,College of Business Administration,MA,ECONOMICS,2007,2003,ACE Tool & Mfg.,"President, retired",Manufacturing/ Rubber/Plastics,1992-02-09 00:00:00,,,,,Wrong Format of Date of Birth
89,Cameron,Johns,aritchie@yahoo.com,Captain,College of Business Administration,MA,ECONOMICS,2007,2003,ACE Tool & Mfg.,"President, retired",Manufacturing/ Rubber/Plastics,1992-02-09 00:00:00,,,,,Contains duplicate Email
89,Cameron,Johns,aritchie@yahoo.com,Captain,College of Business Administration,MA,ECONOMICS,2007,2003,ACE Tool & Mfg.,"President, retired",Manufacturing/ Rubber/Plastics,1992-02-09 00:00:00,,,,,Cell(s) contains N/A value
89,Cameron,Johns,aritchie@yahoo.com,Captain,College of Business Administration,MA,ECONOMICS,2007,2003,ACE Tool & Mfg.,"President, retired",Manufacturing/ Rubber/Plastics,1992-02-09 00:00:00,,,,,Name of the Club is not listed in Sports Club sheet
90,Heidy,Shea,bveum@schamberger.info,Ms,College of Business Administration,BBA,PRE BUSINESS,1002,1998,Hammond Residential Real Estate,Sales Associate/Rental Specialist,,1988-04-15 00:00:00,,,,,Cell(s) contains N/A value
90,Heidy,Shea,bveum@schamberger.info,Ms,College of Business Administration,BBA,PRE BUSINESS,1002,1998,Hammond Residential Real Estate,Sales Associate/Rental Specialist,,1988-04-15 00:00:00,,,,,Wrong Format of Date of Birth
90,Heidy,Shea,bveum@schamberger.info,Ms,College of Business Administration,BBA,PRE BUSINESS,1002,1998,Hammond Residential Real Estate,Sales Associate/Rental Specialist,,1988-04-15 00:00:00,,,,,Name of the Club is not listed in Sports Club sheet
91,Kian,Gamble,brenden35@gmail.com,Mrs,College of Business Administration,BBA,PRE BUSINESS,1011,2007,N H Symphony,,Musical,1990-02-12 00:00:00,,,,,Wrong Format of Date of Birth
91,Kian,Gamble,brenden35@gmail.com,Mrs,College of Business Administration,BBA,PRE BUSINESS,1011,2007,N H Symphony,,Musical,1990-02-12 00:00:00,,,,,Name of the Club is not listed in Sports Club sheet
91,Kian,Gamble,brenden35@gmail.com,Mrs,College of Business Administration,BBA,PRE BUSINESS,1011,2007,N H Symphony,,Musical,1990-02-12 00:00:00,,,,,Cell(s) contains N/A value
92,Tomas,Fuentes,www.jones.com,Dr,College of Business Administration,PHD,BUSINESS ADMINISTRATION,2007,2003,Light of The World,Clergy,Religious,1990-02-28 00:00:00,Cheerleader,Men's Soccer,,,Wrong Format of Date of Birth
92,Tomas,Fuentes,www.jones.com,Dr,College of Business Administration,PHD,BUSINESS ADMINISTRATION,2007,2003,Light of The World,Clergy,Religious,1990-02-28 00:00:00,Cheerleader,Men's Soccer,,,Wrong Format of Email Address
92,Tomas,Fuentes,www.jones.com,Dr,College of Business Administration,PHD,BUSINESS ADMINISTRATION,2007,2003,Light of The World,Clergy,Religious,1990-02-28 00:00:00,Cheerleader,Men's Soccer,,,Name of the Club is not listed in Sports Club sheet
92,Tomas,Fuentes,www.jones.com,Dr,College of Business Administration,PHD,BUSINESS ADMINISTRATION,2007,2003,Light of The World,Clergy,Religious,1990-02-28 00:00:00,Cheerleader,Men's Soccer,,,Cell(s) contains N/A value
93,Nolan,Bryan,ida46@hotmail.com,Dr,College of Health Sciences,BSED,HEALTH & PHYS EDUCATION,2003,1099,Frontier Communications,Representative,Communications,1988-04-14 00:00:00,,,,,Cell(s) contains N/A value
93,Nolan,Bryan,ida46@hotmail.com,Dr,College of Health Sciences,BSED,HEALTH & PHYS EDUCATION,2003,1099,Frontier Communications,Representative,Communications,1988-04-14 00:00:00,,,,,Wrong Format of Date of Birth
93,Nolan,Bryan,ida46@hotmail.com,Dr,College of Health Sciences,BSED,HEALTH & PHYS EDUCATION,2003,1099,Frontier Communications,Representative,Communications,1988-04-14 00:00:00,,,,,Name of the Club is not listed in Sports Club sheet
94,Tiana,Morrison,garmstrong@gmail.com,Senator,College of Education,BA,CLASSROOM TEACHING,2007,2003,Cape Cod Hospital,Nurse,,1990-02-14 00:00:00,,,,,Wrong Format of Date of Birth
94,Tiana,Morrison,garmstrong@gmail.com,Senator,College of Education,BA,CLASSROOM TEACHING,2007,2003,Cape Cod Hospital,Nurse,,1990-02-14 00:00:00,,,,,Cell(s) contains N/A value
94,Tiana,Morrison,garmstrong@gmail.com,Senator,College of Education,BA,CLASSROOM TEACHING,2007,2003,Cape Cod Hospital,Nurse,,1990-02-14 00:00:00,,,,,Name of the Club is not listed in Sports Club sheet
95,Alexis,Sawyer,upagac@sporer.info,The Honorable,College of Business Administration,MBA,COMBINED MBA/MPA,1011,2007,American Express Healthcare Solutions Group,"Director, Business Development",,1990-02-09 00:00:00,Men's Cross Country,,,,Wrong Format of Date of Birth
95,Alexis,Sawyer,upagac@sporer.info,The Honorable,College of Business Administration,MBA,COMBINED MBA/MPA,1011,2007,American Express Healthcare Solutions Group,"Director, Business Development",,1990-02-09 00:00:00,Men's Cross Country,,,,Contains duplicate Email
95,Alexis,Sawyer,upagac@sporer.info,The Honorable,College of Business Administration,MBA,COMBINED MBA/MPA,1011,2007,American Express Healthcare Solutions Group,"Director, Business Development",,1990-02-09 00:00:00,Men's Cross Country,,,,Name of the Club is not listed in Sports Club sheet
95,Alexis,Sawyer,upagac@sporer.info,The Honorable,College of Business Administration,MBA,COMBINED MBA/MPA,1011,2007,American Express Healthcare Solutions Group,"Director, Business Development",,1990-02-09 00:00:00,Men's Cross Country,,,,Cell(s) contains N/A value
96,,Delgado,filomena03@okeefe.org,Mr,College of Business Administration,MBA,COMBINED MBA/MPA,1011,2007,,Creative/Project Management,Advertising/ P.R./ Marketing,1990-02-22 00:00:00,,,,,Wrong Format of Date of Birth
96,,Delgado,filomena03@okeefe.org,Mr,College of Business Administration,MBA,COMBINED MBA/MPA,1011,2007,,Creative/Project Management,Advertising/ P.R./ Marketing,1990-02-22 00:00:00,,,,,Either First Name or Last Name is Blank
96,,Delgado,filomena03@okeefe.org,Mr,College of Business Administration,MBA,COMBINED MBA/MPA,1011,2007,,Creative/Project Management,Advertising/ P.R./ Marketing,1990-02-22 00:00:00,,,,,Name of the Club is not listed in Sports Club sheet
96,,Delgado,filomena03@okeefe.org,Mr,College of Business Administration,MBA,COMBINED MBA/MPA,1011,2007,,Creative/Project Management,Advertising/ P.R./ Marketing,1990-02-22 00:00:00,,,,,Employer Name is Empty even when Job Domain or Job Title is given
96,,Delgado,filomena03@okeefe.org,Mr,College of Business Administration,MBA,COMBINED MBA/MPA,1011,2007,,Creative/Project Management,Advertising/ P.R./ Marketing,1990-02-22 00:00:00,,,,,Cell(s) contains N/A value
97,Dean,Kent,kuhlman.maude@gleichner.com,Mr,College of Business Administration,PHD,BUSINESS ADMINISTRATION,1011,2007,na,Project Engineer,,1990-09-01 00:00:00,Women's Gymnastics,Women's Tennis,Women's Soccer,Cheerleader,Cell(s) contains N/A value
97,Dean,Kent,kuhlman.maude@gleichner.com,Mr,College of Business Administration,PHD,BUSINESS ADMINISTRATION,1011,2007,na,Project Engineer,,1990-09-01 00:00:00,Women's Gymnastics,Women's Tennis,Women's Soccer,Cheerleader,Wrong Format of Date of Birth
98,Quinton,Stanley,schuppe.angela@leuschke.com,Mr,College of Business Administration,MBA,COMBINED MBA/MPA,1011,2007,Cape Cod Hospital,Nurse,Healthcare,,,,,,Wrong Format of Date of Birth
98,Quinton,Stanley,schuppe.angela@leuschke.com,Mr,College of Business Administration,MBA,COMBINED MBA/MPA,1011,2007,Cape Cod Hospital,Nurse,Healthcare,nan,,,,,Name of the Club is not listed in Sports Club sheet
98,Quinton,Stanley,schuppe.angela@leuschke.com,Mr,College of Business Administration,MBA,COMBINED MBA/MPA,1011,2007,Cape Cod Hospital,Nurse,Healthcare,nan,,,,,Cell(s) contains N/A value
99,Guillermo,Ray,maxine15@gmail.com,Mrs,College of Business Administration,BA,ECONOMICS,1995,1991,Cape Cod Hospital,Registered Nurse,Healthcare,nan,,,,,Name of the Club is not listed in Sports Club sheet
99,Guillermo,Ray,maxine15@gmail.com,Mrs,College of Business Administration,BA,ECONOMICS,1995,1991,Cape Cod Hospital,Registered Nurse,Healthcare,,,,,,Wrong Format of Date of Birth
99,Guillermo,Ray,maxine15@gmail.com,Mrs,College of Business Administration,BA,ECONOMICS,1995,1991,Cape Cod Hospital,Registered Nurse,Healthcare,nan,,,,,Cell(s) contains N/A value
